geometry,ID,Country,X,Y,Casos,casos_10000hab,Orden
"{""type"":""Point"",""coordinates"":[111.89338538349014,29.31872562077025]}",,Hubei,112,29,,,
"{""type"":""Point"",""coordinates"":[113.37331537563622,23.48562556305162]}",,Guangdong,113,23,,,
"{""type"":""Point"",""coordinates"":[114.81580097632951,33.730469018854926]}",,Henan,115,34,,,
"{""type"":""Point"",""coordinates"":[120.27208349348534,29.06029713720045]}",,Zhejiang,120,29,,,
Point,,Hunan,111,27,,,
"{""type"":""Point"",""coordinates"":[117.26877093888511,31.718418682489958]}",,Anhui,117,32,,,
"{""type"":""Point"",""coordinates"":[115.68270362506581,27.675858832362152]}",,Jiangxi,116,28,,,
"{""type"":""Point"",""coordinates"":[117.78457932774356,36.093243725778926]}",,Shandong,118,36,,,
"{""type"":""Point"",""coordinates"":[119.80275871156806,32.549081665392926]}",,Jiangsu,120,33,,,
"{""type"":""Point"",""coordinates"":[107.27072098938456,29.743286700920663]}",,Chongqinq,107,30,,,
"{""type"":""Point"",""coordinates"":[102.75818162147537,30.629327216017167]}",,Sichuan,103,31,,,
"{""type"":""Point"",""coordinates"":[129.33233065715342,46.30116882678654]}",,Heilongjiang,129,46,,,
"{""type"":""Point"",""coordinates"":[116.43513737863016,40.26501781769162]}",,Pekín,116,40,,,
"{""type"":""Point"",""coordinates"":[121.4065915782523,31.16464336055464]}",,Shanghái,121,31,,,
"{""type"":""Point"",""coordinates"":[115.43575926997275,38.51139596489646]}",,Hebei,115,39,,,
"{""type"":""Point"",""coordinates"":[117.91636209372184,26.0514512213519]}",,Fujian,118,26,,,
"{""type"":""Point"",""coordinates"":[108.60369957072058,23.744054046621436]}",,Guangxi Zhuang,109,24,,,
Point,,Dominica,-61.341379,15.466371,,,
Point,,Shaanxi,109,35,,,
"{""type"":""Point"",""coordinates"":[101.437522939289,25.017737287072652]}",,Yunnan,101,25,,,
"{""type"":""Point"",""coordinates"":[109.93963259252564,19.18463722935402]}",,Hainan,110,19,,,
"{""type"":""Point"",""coordinates"":[107.11311101560979,26.826736672061347]}",,Guizhou,107,27,,,
"{""type"":""Point"",""coordinates"":[117.43076796757957,39.009793754638245]}",,Tianjin,117,39,,,
Point,,Shanxi,109,35,,,
"{""type"":""Point"",""coordinates"":[123.35314124026932,41.29873175197088]}",,Liaoning,123,41,,,
Point,,Hong Kong,114,22,,,
"{""type"":""Point"",""coordinates"":[127.25089905495228,43.827639055475466]}",,Jilin,127,44,,,
"{""type"":""Point"",""coordinates"":[95.72558186350412,40.265017817691614]}",,Gansu,96,40,,,
"{""type"":""Point"",""coordinates"":[84.83170116663037,40.486527946465735]}",,Xinjiang Uygur,85,40,,,
"{""type"":""Point"",""coordinates"":[117.08719530677091,44.01223082945391]}",,Mongolia Interior,117,44,,,
"{""type"":""Point"",""coordinates"":[106.01626042194138,37.28386066793985]}",,Ningxia Hui,106,37,,,
"{""type"":""Point"",""coordinates"":[95.4685056541033,35.94557030659617]}",,Qinghai,95,36,,,
Point,,Macao,113,22,,,
"{""type"":""Point"",""coordinates"":[87.69234024185047,31.367694311930922]}",,Tíbet,88,31,,,
"{""type"":""Point"",""coordinates"":[-69.97564014284048,12.51562572299283]}",,Aruba,-70,13,,,
Point,,Guernsey,-2.579945,49.448870,,,
"{""type"":""Point"",""coordinates"":[-68.967559939473,12.187926652413083]}",,Curacao,-69,12,,,
"{""type"":""Point"",""coordinates"":[-5.344893150585171,36.13821338823707]}",,Gibraltar,-5,36,,,
"{""type"":""Point"",""coordinates"":[-81.23844954072658,19.308662271583362]}",,Islas Caimán,-81,19,,,
"{""type"":""Point"",""coordinates"":[-6.88410896780812,62.03106379660882]}",,Islas Faroe,-7,62,,,
"{""type"":""Point"",""coordinates"":[-2.128652669989553,49.21911494364036]}",,Jersey,-2,49,,,
"{""type"":""Point"",""coordinates"":[-146.41853650287715,-14.854914064639654]}",,Polinesia Francesa,-146,-15,,,
"{""type"":""Point"",""coordinates"":[-66.46234023023472,18.221329359083494]}",,Puerto Rico,-66,18,,,
"{""type"":""Point"",""coordinates"":[-63.05878297085124,18.079461046674567]}",,San Martín,-63,18,,,
Point,,San Bartolomé,-62.826109,17.895192,,,
"{""type"":""Point"",""coordinates"":[35.20410059219709,31.914383438039096]}",,Territorio Palestino,35,32,,,
"{""type"":""Point"",""coordinates"":[-63.06008343771821,18.22287400421897]}",,Anguila,-63,18,,,
"{""type"":""Point"",""coordinates"":[-169.53392394200802,16.728048821490397]}",,Atolón Johnston,-170,17,,,
"{""type"":""Point"",""coordinates"":[-68.28430947204649,12.18761783888502]}",,Bonaire,-68,12,,,
"{""type"":""Point"",""coordinates"":[23.815027778749215,-22.182003375532073]}",,Botsuana,24,-22,,,
"{""type"":""Point"",""coordinates"":[127.18195665145292,40.143063041182344]}",,Corea del Norte,127,40,,,
"{""type"":""Point"",""coordinates"":[54.197765676025945,32.73946327939987]}",,Corrí,54,33,,,
"{""type"":""Point"",""coordinates"":[-36.38237506321691,-54.48814451299453]}",,Georgia del sur,-36,-54,,,
Point,,Santa Sede,41.903311,12.453860,,,
"{""type"":""Point"",""coordinates"":[-41.38950136450611,74.72091883989886]}",,Groenlandia,-41,75,,,
"{""type"":""Point"",""coordinates"":[144.7755974508569,13.443565388246027]}",,Guam,145,13,,,
"{""type"":""Point"",""coordinates"":[-2.576392582891649,49.458707713788634]}",,Guernsey,-3,49,,,
"{""type"":""Point"",""coordinates"":[-176.46164572575665,0.219100113740968]}",,Isla Baker,-176,0,,,
"{""type"":""Point"",""coordinates"":[3.412521381414192,-54.42190673505395]}",,Isla Bouvet,3,-54,,,
